XpryDt,FinInstrmNm,TckrSymb,PCLOSE,OPEN,HIGH,LOW,CLOSE,SttlmPric,TtlTradgVol,OpnIntrst,RptgDt,TYPE,Week,Weekly Returns(%),Weekly Returns(%)
2/29/2024,FUTSTK,TATACONSUM,966.1,983.4,992.05,971.7,982.7,982.7,21,21600,19-Dec-23,3,,,
2/29/2024,FUTSTK,TATACONSUM,982.7,992,1024.85,991,992.1,992.1,50,23400,20-Dec-23,3,,,
2/29/2024,FUTSTK,TATACONSUM,992.1,994.25,996.35,981.9,994.5,994.5,20,26100,21-Dec-23,3,,,
2/29/2024,FUTSTK,TATACONSUM,994.5,1000,1009.8,999.9,1008.2,1005.55,14,30600,22-Dec-23,3,,,
2/29/2024,FUTSTK,TATACONSUM,1008.2,1019,1031.75,1019,1025.15,1019.55,30,31500,26-Dec-23,3,,,
2/29/2024,FUTSTK,TATACONSUM,1025.15,1028.5,1042.3,1028.5,1040.65,1040.65,23,38700,27-Dec-23,3,,,
2/29/2024,FUTSTK,TATACONSUM,1040.65,1044.05,1046.3,1037.05,1046.3,1053.2,9,37800,28-Dec-23,3,,,
3/28/2024,FUTSTK,TATACONSUM,1060.1,1091.75,1097.8,1091.75,1097.8,1105.05,3,1800,29-Dec-23,3,,,
3/28/2024,FUTSTK,TATACONSUM,1097.8,1100,1100,1100,1100,1100,1,2700,1-Jan-24,3,,,
3/28/2024,FUTSTK,TATACONSUM,1100,1100,1112,1095.45,1111.5,1111.5,11,9900,2-Jan-24,3,,,
3/28/2024,FUTSTK,TATACONSUM,1111.5,1108.85,1108.85,1105.75,1105.75,1102.15,3,11700,3-Jan-24,3,,,
3/28/2024,FUTSTK,TATACONSUM,1105.75,1114.3,1137,1114.3,1137,1143.15,13,13500,4-Jan-24,3,,,
3/28/2024,FUTSTK,TATACONSUM,1137,1134.05,1134.05,1129,1133.2,1133.2,6,17100,5-Jan-24,3,,,
3/28/2024,FUTSTK,TATACONSUM,1133.2,1122,1125,1111.2,1117.75,1117.75,10,15300,8-Jan-24,3,,,
3/28/2024,FUTSTK,TATACONSUM,1117.75,1123,1123,1123,1123,1128,2,17100,9-Jan-24,3,,,
3/28/2024,FUTSTK,TATACONSUM,1123,1121,1123,1121,1123,1130.1,2,16200,10-Jan-24,3,,,
3/28/2024,FUTSTK,TATACONSUM,1123,1123.3,1130.95,1123.3,1128,1135.35,3,15300,11-Jan-24,3,,,
3/28/2024,FUTSTK,TATACONSUM,1128,1147.9,1164,1147.8,1164,1175.4,10,13500,12-Jan-24,3,,,
3/28/2024,FUTSTK,TATACONSUM,1164,1183.3,1184.6,1147,1157.9,1157.9,31,26100,15-Jan-24,3,,,
3/28/2024,FUTSTK,TATACONSUM,1157.9,1156.15,1169.45,1155,1155,1159.05,21,27900,16-Jan-24,3,,,
3/28/2024,FUTSTK,TATACONSUM,1155,1153.4,1161.35,1151.05,1151.05,1151.05,7,27900,17-Jan-24,3,,,
3/28/2024,FUTSTK,TATACONSUM,1151.05,1140,1152.5,1139.3,1152.5,1161.75,4,26100,18-Jan-24,3,,,
3/28/2024,FUTSTK,TATACONSUM,1152.5,1166.5,1171,1162,1169.75,1169.75,16,26100,19-Jan-24,3,,,
3/28/2024,FUTSTK,TATACONSUM,1161.9,1164.5,1164.5,1146,1146.3,1146.3,21,37800,23-Jan-24,3,,,
3/28/2024,FUTSTK,TATACONSUM,1146.3,1167,1167,1167,1167,1167,1,37800,24-Jan-24,3,,,
3/28/2024,FUTSTK,TATACONSUM,1167,1158.6,1159,1144.55,1147.8,1147.8,8,41400,25-Jan-24,3,,,
4/25/2024,FUTSTK,TATACONSUM,1157.1,1157,1160.2,1157,1160.2,1159.55,10,7200,29-Jan-24,3,,,
4/25/2024,FUTSTK,TATACONSUM,1160.2,0,0,0,1160.2,1140.9,0,7200,30-Jan-24,3,,,
4/25/2024,FUTSTK,TATACONSUM,1160.2,0,0,0,1160.2,1135.7,0,7200,31-Jan-24,3,,,
4/25/2024,FUTSTK,TATACONSUM,1160.2,1134.75,1151.7,1132,1143.85,1143.85,6,9900,1-Feb-24,3,,,
4/25/2024,FUTSTK,TATACONSUM,1143.85,1155.85,1178,1155.85,1178,1178,4,10800,2-Feb-24,3,,,
4/25/2024,FUTSTK,TATACONSUM,1178,1170,1178,1170,1178,1167.9,2,9900,5-Feb-24,3,,,
4/25/2024,FUTSTK,TATACONSUM,1178,1174,1174,1174,1174,1180.65,1,10800,6-Feb-24,3,,,
4/25/2024,FUTSTK,TATACONSUM,1174,1178.05,1181.15,1178.05,1181.15,1183.15,4,11700,7-Feb-24,3,,,
4/25/2024,FUTSTK,TATACONSUM,1181.15,1158.15,1170,1145,1150,1154.2,16,15300,8-Feb-24,3,,,
4/25/2024,FUTSTK,TATACONSUM,1150,1160,1160,1135.3,1135.3,1145.5,4,14400,9-Feb-24,3,,,
4/25/2024,FUTSTK,TATACONSUM,1135.3,1136,1136,1131.95,1132.2,1137.45,3,16200,12-Feb-24,3,,,
4/25/2024,FUTSTK,TATACONSUM,1132.2,1135.95,1154.85,1135.95,1149,1149,9,16200,13-Feb-24,3,,,
4/25/2024,FUTSTK,TATACONSUM,1149,1139,1139,1139,1139,1150.6,1,16200,14-Feb-24,3,,,
4/25/2024,FUTSTK,TATACONSUM,1139,1154.55,1155,1145,1145.6,1146.15,6,18900,15-Feb-24,3,,,
4/25/2024,FUTSTK,TATACONSUM,1145.6,1154.95,1161.2,1154.95,1159.3,1159.3,9,17100,16-Feb-24,3,,,
